KECAMATAN,DESA,KAMPUNG,RT/RW,LUAS (Ha),KEWENANGAN,Bobot Kumuh,Tingkat Kekumuhan Awal,Pembagian Kawasan Kumuh,BANGUNAN-JALAN LINGKUNGAN (Unit)-KEBUTUHAN,BANGUNAN-JALAN LINGKUNGAN (Unit)-NUMERIK,BANGUNAN-RELOKASI (Ha)-KEBUTUHAN,BANGUNAN-RELOKASI (Ha)-NUMERIK,BANGUNAN-RTLH (Unit)-KEBUTUHAN,BANGUNAN-RTLH (Unit)-NUMERIK,JALAN LINGKUNGAN-JALAN BARU (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN BARU (M)-NUMERIK,JALAN LINGKUNGAN-JALAN RUSAK (M)-KEBUTUHAN,JALAN LINGKUNGAN-JALAN RUSAK (M)-NUMERIK,AIR MINUM-SAB AKSES (KK)-KEBUTUHAN,AIR MINUM-SAB AKSES (KK)-NUMERIK,AIR MINUM-SAB KEBUTUHAN (KK)-KEBUTUHAN,AIR MINUM-SAB KEBUTUHAN (KK)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE LIMPASAN (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE BARU (M)-NUMERIK,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-KEBUTUHAN,DRAINASE LINGKUNGAN-DRAINASE RUSAK (M)-NUMERIK,SANITASI-SETPITENG KOMUNAL (KK)-KEBUTUHAN,SANITASI-SETPITENG KOMUNAL (KK)-NUMERIK,SANITASI-JAMBAN PRIBADI (KK)-KEBUTUHAN,SANITASI-JAMBAN PRIBADI (KK)-NUMERIK,PERSAMPAHAN-TPS/TPST (KK)-KEBUTUHAN,PERSAMPAHAN-TPS/ TPST (KK)-NUMERIK,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -KEBUTUHAN,PERSAMPAHAN-TPS3R/ BANK SAMPAH (KK) -NUMERIK,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-KEBUTUHAN,PROTEKSI KEBAKARAN-JALAN LINGKUNGAN/ SUMBER AIR (KK)-NUMERIK,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-KEBUTUHAN,PROTEKSI KEBAKARAN-APAR/ MOBIL/MOTOR DAMKAR-NUMERIK
BAROS,TAMANSARI,KP. LENGGOR ,RT004-RW002,1.58019363177,KAB/KOTA,23,KUMUH RINGAN,Kawasan Perkotaan Selatan,3,0,0,0,1,0,0,0,550,3,0,0,0,0,0,0,670,5,0,0,0,0,0,0,50,5,50,5,50,0,44,5
BAROS,TAMANSARI,KP. CITAMAN,RT005-RW006,1.18572966272,KAB/KOTA,29,KUMUH RINGAN,Kawasan Perkotaan Selatan,49,5,0,0,18,1,0,0,420,3,2,0,0,0,0,0,300,5,0,0,3,0,0,0,60,5,60,5,60,0,49,5
BAROS,TEJAMARI,KP. CIBONGOR,RT002-RW001,2.92162392653,PUSAT,37,KUMUH RINGAN,Kawasan Perkotaan Selatan,0,0,0,0,8,0,200,0,1450,3,117,5,117,5,0,0,500,3,350,1,1,0,1,0,117,5,117,5,117,5,91,5
BAROS,TEJAMARI,KP. SINDANGMANDI,RT006-RW002,1.98861282066,PUSAT,37,KUMUH RINGAN,Kawasan Perkotaan Selatan,25,1,0,0,6,0,0,0,950,5,22,1,0,0,0,0,200,5,0,0,5,0,85,5,87,5,87,5,87,5,59,5
BAROS,TEJAMARI,KP. KADUBALAK,RT007-RW003,1.88263804514,PUSAT,41,KUMUH SEDANG,Kawasan Perkotaan Selatan,53,5,0,0,3,0,0,0,500,1,0,0,68,5,0,0,1000,5,0,0,0,0,68,5,68,5,68,5,68,5,53,5
BAROS,TEJAMARI,KP. GUNALONG ,RT009-RW003,2.13389958099,PUSAT,26,KUMUH RINGAN,Kawasan Perkotaan Selatan,15,0,0,0,7,0,0,0,900,1,17,0,0,0,0,0,1000,5,0,0,5,0,5,0,103,5,103,5,103,5,79,5
BAROS,TEJAMARI,KP. PADURUNG,RT010-RW004,3.0266944924,PUSAT,34,KUMUH RINGAN,Kawasan Perkotaan Selatan,21,1,0,0,1,0,0,0,1300,5,0,0,0,0,0,0,0,0,200,5,3,0,82,5,82,5,50,3,82,5,70,5
BAROS,TEJAMARI,KP. PASIR SIREUM,RT012-RW005,1.54774392852,PUSAT,34,KUMUH RINGAN,Kawasan Perkotaan Selatan,78,5,0,0,4,0,0,0,1500,5,0,0,0,0,0,0,500,3,300,1,0,0,0,0,78,5,78,5,78,5,78,5
BAROS,TEJAMARI,KP. PASIR SIREUM,RT013-RW005,1.56428719617,PUSAT,32,KUMUH RINGAN,Kawasan Perkotaan Selatan,13,0,0,0,8,0,0,0,500,5,32,1,35,1,0,0,200,5,0,0,0,0,0,0,78,5,78,5,78,5,58,5
BAROS,TEJAMARI,KP. PADURUNG,RT016-RW004,2.17184125715,PUSAT,32,KUMUH RINGAN,Kawasan Perkotaan Selatan,50,5,0,0,15,1,0,0,180,1,0,0,0,0,0,0,150,5,0,0,0,0,0,0,51,5,51,5,51,5,50,5
